id,name,description,avg_price,offer,tags,horarios
1,Haribo,Venda de dolços i llaminadures,1,,dolços,"07:00-21:00, 07:00-23:00, 08:00-22:00, 09:00-20:00, 09:00-23:00"
2,Starbucks,Cafeteria internacional,3,,cafeteria,"07:00-21:00, 07:00-20:00, 08:00-22:00, 08:00-21:00, 09:00-20:00, 09:00-22:00"
3,Chanel,Botiga de luxe de cosmètics i moda,1,,"cosmètica, moda","07:00-21:00, 08:00-22:00, 08:00-20:00, 09:00-21:00, 10:00-14:00"
4,Farmàcia 1,Farmàcia amb servei 24h,1,,"farmàcia, servei",00:00-23:59
6,Levis,Botiga de roba texana,3,,moda,"07:00-20:00, 08:00-22:00, 09:00-20:00, 09:00-21:00"
7,Massimo Dutti,Botiga de moda elegant,3,,moda,"08:00-21:00, 09:00-22:00, 09:00-21:00, 09:00-23:00"
8,Coffee Pause,Petita cafeteria,1,,cafeteria,"07:00-23:00, 07:00-21:00, 08:00-23:00, 08:00-22:00, 09:00-23:00, 09:00-14:00, 09:00-22:00"
9,Nike,Botiga d'esport i roba esportiva,1,,"esport, moda","07:00-22:00, 08:00-20:00, 09:00-21:00, 09:00-23:00, 09:00-20:00"
10,Sephora,Perfumeria i cosmètics,1,,cosmètica,"07:00-23:00, 08:00-22:00, 08:00-23:00, 09:00-20:00, 09:00-21:00, 10:00-15:00"
11,Mc Donald's,Restaurant de menjar ràpid,3,,menjar ràpid,"07:00-22:00, 08:00-20:00, 08:00-21:00, 08:00-22:00, 09:00-20:00, 09:00-22:00, 10:00-14:00"
13,Tous,Joieria i accessoris,2,,"cosmètica, moda","07:00-20:00, 07:00-23:00, 08:00-21:00, 08:00-22:00, 09:00-20:00"
14,Lindt,Xocolateria,3,,dolços,"07:00-23:00, 08:00-21:00, 08:00-22:00, 09:00-20:00, 09:00-21:00, 09:00-23:00"
16,Adidas,Botiga d'esport i roba esportiva,2,,"esport, moda","08:00-20:00, 08:00-21:00, 08:00-22:00, 09:00-23:00, 09:00-21:00"
17,H&M,Botiga de moda,2,,moda,"08:00-22:00, 08:00-23:00, 09:00-20:00, 09:00-22:00, 10:00-14:00"
18,Sala d'actes,Espai per a esdeveniments,3,,oci,"07:00-23:00, 08:00-20:00, 09:00-23:00, 09:00-22:00, 10:00-14:00"
19,Parking,Aparcament de vehicles,1,,mobilitat,00:00-23:59
21,ATM 1,Caixer automàtic,1,,servei,00:00-23:59
22,ATM 2,Caixer automàtic,3,,servei,00:00-23:59
24,Lavabo 1,Servei de lavabos,3,,servei,00:00-23:59
25,Lavabo 2,Servei de lavabos,1,,servei,00:00-23:59
26,Lavabo 3,Servei de lavabos,2,,servei,00:00-23:59
27,Lavabo 4,Servei de lavabos,1,,servei,00:00-23:59
28,Zona d'endolls per cotxes elèctrics,Punts de càrrega per a vehicles elèctrics,1,,mobilitat,"07:00-22:00, 07:00-21:00, 07:00-23:00, 08:00-21:00, 09:00-22:00"
29,Punt d'informació 1,Punt d'atenció al client,2,,servei,"07:00-22:00, 08:00-23:00, 08:00-22:00, 08:00-20:00, 09:00-22:00, 10:00-14:00"
30,Punt d'informació 2,Punt d'atenció al client,1,,servei,"07:00-21:00, 07:00-22:00, 08:00-22:00, 09:00-20:00, 09:00-21:00"
32,Porta A1,Porta d'embarcament A1,1,,,
33,Porta A2,Porta d'embarcament A2,1,,,
34,Porta A3,Porta d'embarcament A3,1,,,
35,Porta A4,Porta d'embarcament A4,1,,,
36,Enrique Tomas,Bar especialitzat en pernil,1,,,
37,Facturar Maletes 1,Zona de facturació de maletes,1,,,
38,Facturar Maletes 2,Zona de facturació de maletes,1,,,
39,Facturar Maletes 3,Zona de facturació de maletes,1,,,
40,Recollida bus i taxi,Zona de recollida per a busos i taxis,1,,,
41,Policia,Estació de policia,1,,,
42,Billets1,Taquilla per a comprar billets d'aviò,1,,,
43,Billets2,Taquilla per a comprar billets d'aviò,1,,,
44,Escales1,Escales per a canviar de pis,1,,,
45,Escales2,Escales per a canviar de pis,1,,,
46,Escales3,Escales per a canviar de pis,1,,,
47,Escales4,Escales per a canviar de pis,1,,,
48,Escales5,Escales per a canviar de pis,1,,,
49,Escales6,Escales per a canviar de pis,1,,,
51,Seguretat 1,Zona de seguretat per clients,1,,,
52,Seguretat 2,Zona de seguretat per clients,1,,,
53,Seguretat 3,Zona de seguretat per clients,1,,,
54,Sortida 1,Porta de sortida del terminal,1,,,
55,Sortida 2,Porta de sortida del terminal,1,,,
56,Sortida 3,Porta de sortida del terminal,1,,,
57,Sortida 4,Porta de sortida del terminal,1,,,
