ID: 1 | Nombre: Haribo | Descripción: Venda de dolços i llaminadures | Precio: 1 | Ubicación: (0.3842, 0.1425) | Estado:  | Oferta: None | Etiquetas: dolços | Horarios: 07:00-21:00, 07:00-23:00, 08:00-22:00, 09:00-20:00, 09:00-23:00
ID: 2 | Nombre: Starbucks | Descripción: Cafeteria internacional | Precio: 3 | Ubicación: (0.4148, 0.1425) | Estado:  | Oferta: None | Etiquetas: cafeteria | Horarios: 07:00-21:00, 07:00-20:00, 08:00-22:00, 08:00-21:00, 09:00-20:00, 09:00-22:00
ID: 3 | Nombre: Chanel | Descripción: Botiga de luxe de cosmètics i moda | Precio: 1 | Ubicación: (0.5805, 0.1425) | Estado:  | Oferta: None | Etiquetas: cosmètica, moda | Horarios: 07:00-21:00, 08:00-22:00, 08:00-20:00, 09:00-21:00, 10:00-14:00
ID: 4 | Nombre: Farmàcia 1 | Descripción: Farmàcia amb servei 24h | Precio: 1 | Ubicación: (0.6460, 0.1425) | Estado:  | Oferta: None | Etiquetas: farmàcia, servei | Horarios: 00:00-23:59
ID: 6 | Nombre: Levis | Descripción: Botiga de roba texana | Precio: 3 | Ubicación: (0.7255, 0.1425) | Estado:  | Oferta: None | Etiquetas: moda | Horarios: 07:00-20:00, 08:00-22:00, 09:00-20:00, 09:00-21:00
ID: 7 | Nombre: Massimo Dutti | Descripción: Botiga de moda elegant | Precio: 3 | Ubicación: (0.5974, 0.1658) | Estado:  | Oferta: None | Etiquetas: moda | Horarios: 08:00-21:00, 09:00-22:00, 09:00-21:00, 09:00-23:00
ID: 8 | Nombre: Coffee Pause | Descripción: Petita cafeteria | Precio: 1 | Ubicación: (0.4044, 0.1658) | Estado:  | Oferta: None | Etiquetas: cafeteria | Horarios: 07:00-23:00, 07:00-21:00, 08:00-23:00, 08:00-22:00, 09:00-23:00, 09:00-14:00, 09:00-22:00
ID: 9 | Nombre: Nike | Descripción: Botiga d'esport i roba esportiva | Precio: 1 | Ubicación: (0.3351, 0.1658) | Estado:  | Oferta: None | Etiquetas: esport, moda | Horarios: 07:00-22:00, 08:00-20:00, 09:00-21:00, 09:00-23:00, 09:00-20:00
ID: 10 | Nombre: Sephora | Descripción: Perfumeria i cosmètics | Precio: 1 | Ubicación: (0.2712, 0.1658) | Estado:  | Oferta: None | Etiquetas: cosmètica | Horarios: 07:00-23:00, 08:00-22:00, 08:00-23:00, 09:00-20:00, 09:00-21:00, 10:00-15:00
ID: 11 | Nombre: Mc Donald's | Descripción: Restaurant de menjar ràpid | Precio: 3 | Ubicación: (0.7956, 0.5734) | Estado:  | Oferta: None | Etiquetas: menjar ràpid | Horarios: 07:00-22:00, 08:00-20:00, 08:00-21:00, 08:00-22:00, 09:00-20:00, 09:00-22:00, 10:00-14:00
ID: 13 | Nombre: Tous | Descripción: Joieria i accessoris | Precio: 2 | Ubicación: (0.5875, 0.7696) | Estado:  | Oferta: None | Etiquetas: cosmètica, moda | Horarios: 07:00-20:00, 07:00-23:00, 08:00-21:00, 08:00-22:00, 09:00-20:00
ID: 14 | Nombre: Lindt | Descripción: Xocolateria | Precio: 3 | Ubicación: (0.8790, 0.4846) | Estado:  | Oferta: None | Etiquetas: dolços | Horarios: 07:00-23:00, 08:00-21:00, 08:00-22:00, 09:00-20:00, 09:00-21:00, 09:00-23:00
ID: 16 | Nombre: Adidas | Descripción: Botiga d'esport i roba esportiva | Precio: 2 | Ubicación: (0.8688, 0.4800) | Estado:  | Oferta: None | Etiquetas: esport, moda | Horarios: 08:00-20:00, 08:00-21:00, 08:00-22:00, 09:00-23:00, 09:00-21:00
ID: 17 | Nombre: H&M | Descripción: Botiga de moda | Precio: 2 | Ubicación: (0.8673, 0.3947) | Estado:  | Oferta: None | Etiquetas: moda | Horarios: 08:00-22:00, 08:00-23:00, 09:00-20:00, 09:00-22:00, 10:00-14:00
ID: 18 | Nombre: Sala d'actes | Descripción: Espai per a esdeveniments | Precio: 3 | Ubicación: (0.5088, 0.4940) | Estado:  | Oferta: None | Etiquetas: oci | Horarios: 07:00-23:00, 08:00-20:00, 09:00-23:00, 09:00-22:00, 10:00-14:00
ID: 19 | Nombre: Parking | Descripción: Aparcament de vehicles | Precio: 1 | Ubicación: (0.1177, 0.3387) | Estado:  | Oferta: None | Etiquetas: mobilitat | Horarios: 00:00-23:59
ID: 21 | Nombre: ATM 1 | Descripción: Caixer automàtic | Precio: 1 | Ubicación: (0.0787, 0.3176) | Estado:  | Oferta: None | Etiquetas: servei | Horarios: 00:00-23:59
ID: 22 | Nombre: ATM 2 | Descripción: Caixer automàtic | Precio: 3 | Ubicación: (0.8190, 0.5851) | Estado:  | Oferta: None | Etiquetas: servei | Horarios: 00:00-23:59
ID: 24 | Nombre: Lavabo 1 | Descripción: Servei de lavabos | Precio: 3 | Ubicación: (0.1200, 0.2277) | Estado:  | Oferta: None | Etiquetas: servei | Horarios: 00:00-23:59
ID: 25 | Nombre: Lavabo 2 | Descripción: Servei de lavabos | Precio: 1 | Ubicación: (0.4862, 0.1413) | Estado:  | Oferta: None | Etiquetas: servei | Horarios: 00:00-23:59
