Terminal,UbicacionExacta,TipoServicio,Nombre,HorarioApertura,HorarioCierre,ServiciosDisponibles,Descripcion
Terminal A,"Zona Comercial, Nivel 1",Tienda,Moda Urbana,08:00,21:00,Libros internacionales,Tienda especializada en productos variados
Terminal B,"Zona Comercial, Nivel 1",Tienda,Libros y Mas,08:00,20:00,Ropa de diseno,Tienda especializada en productos variados
Terminal A,"Zona Comercial, Nivel 2",Tienda,Libros y Mas,10:00,20:00,Libros internacionales,Tienda especializada en productos variados
Terminal B,"Zona Comercial, Nivel 3",Tienda,Duty-Free,10:00,22:00,Ropa de diseno,Tienda especializada en productos variados
Terminal B,"Zona Comercial, Nivel 1",Tienda,Moda Urbana,09:00,21:00,Libros internacionales,Tienda especializada en productos variados
Terminal B,"Zona Comercial, Nivel 2",Tienda,Duty-Free,08:00,21:00,Libros internacionales,Tienda especializada en productos variados
Terminal A,"Zona Comercial, Nivel 1",Tienda,Duty-Free,08:00,21:00,Ropa de diseno,Tienda especializada en productos variados
Terminal A,"Zona Comercial, Nivel 2",Tienda,Electronica Express,09:00,20:00,Compras libres de impuestos,Tienda especializada en productos variados
Terminal A,"Zona Comida, Nivel 2",Restaurante,Cafeteria 24h,00:00,23:59,"Comida rapida, Menu vegetariano",Opciones gastronomicas para todos los gustos
Terminal A,"Zona Comida, Nivel 2",Restaurante,Cafeteria 24h,08:00,21:00,"Comida rapida, Menu vegetariano",Opciones gastronomicas para todos los gustos
Terminal B,"Zona Comida, Nivel 2",Restaurante,Sushi Premium,08:00,22:00,"Comida rapida, Menu vegetariano",Opciones gastronomicas para todos los gustos
Terminal A,"Zona Comida, Nivel 1",Restaurante,Sushi Premium,07:00,23:00,"Comida rapida, Menu vegetariano",Opciones gastronomicas para todos los gustos
