Nom,Categoria,Tipologia,Ubicació,Horari,Preu
Roma Cuina,Restaurant,Cuina italiana,Terminal A - Porta 9,10:00–20:00,€€
Espai de Lectura,Botiga,Premsa i llibres,Terminal A - Porta 27,10:00–20:00,€€
Food Stop,Restaurant,Cuina ràpida,Terminal A - Porta 3,10:00–20:00,€
Verda Vida,Botiga,Productes naturals,Terminal A - Porta 16,09:00–21:00,€
Trattoria Lina,Restaurant,Cuina italiana,Terminal A - Porta 10,09:00–21:00,€€€
LookBook,Botiga,Moda,Terminal A - Porta 1,06:00–22:00,€€€
Essències de Saint Christelle,Botiga,Perfumeria,Terminal A - Porta 6,07:00–23:00,€€
Book Stop,Botiga,Premsa i llibres,Terminal A - Porta 20,06:00–22:00,€€
Llibres Teobaldo,Botiga,Premsa i llibres,Terminal A - Porta 12,09:00–21:00,€€
Salut Natural,Botiga,Productes naturals,Terminal A - Porta 12,07:00–23:00,€
QuickBite Soria,Restaurant,Cuina ràpida,Terminal A - Porta 17,09:00–21:00,€
Relay,Botiga,Premsa i llibres,Terminal A - Porta 11,09:00–21:00,€€
Gust Mediterrani,Restaurant,Mediterrània,Terminal A - Porta 6,06:00–22:00,€€
Sabors & Olives,Restaurant,Mediterrània,Terminal A - Porta 2,09:00–21:00,€€
Vida Eco,Botiga,Productes naturals,Terminal A - Porta 20,09:00–21:00,€
Natura Santa Cruz de Tenerife,Botiga,Productes naturals,Terminal A - Porta 27,06:00–22:00,€€
Street Food Soria,Restaurant,Cuina ràpida,Terminal A - Porta 6,10:00–20:00,€
Llibres Viatgers,Botiga,Premsa i llibres,Terminal A - Porta 23,09:00–21:00,€€
Lectura+ Guadalajara,Botiga,Premsa i llibres,Terminal A - Porta 23,09:00–21:00,€
Menjar Ràpid Sevilla,Restaurant,Cuina ràpida,Terminal A - Porta 10,06:00–22:00,€
Bon Cafè Ávila,Restaurant,Cafeteria,Terminal A - Porta 14,06:00–22:00,€
La Tavola di Pierina,Restaurant,Cuina italiana,Terminal A - Porta 23,10:00–20:00,€€€
Trattoria Tiziano,Restaurant,Cuina italiana,Terminal A - Porta 3,09:00–21:00,€€
Street Food Álava,Restaurant,Cuina ràpida,Terminal A - Porta 27,10:00–20:00,€
Lectura Global,Botiga,Premsa i llibres,Terminal A - Porta 23,06:00–22:00,€€
Pasta & Damiano,Restaurant,Cuina italiana,Terminal A - Porta 11,07:00–23:00,€€
Llibres Macaria,Botiga,Premsa i llibres,Terminal A - Porta 26,10:00–20:00,€
Go! Lupita,Restaurant,Cuina ràpida,Terminal A - Porta 25,06:00–22:00,€
Michèle Perfums,Botiga,Perfumeria,Terminal A - Porta 1,09:00–21:00,€€
Coffee & Albano,Restaurant,Cafeteria,Terminal A - Porta 19,07:00–23:00,€
Ristorante Romolo,Restaurant,Cuina italiana,Terminal A - Porta 4,06:00–22:00,€€
Llibres Juan Pablo,Botiga,Premsa i llibres,Terminal A - Porta 14,09:00–21:00,€
Botiga Bio La Rioja,Botiga,Productes naturals,Terminal A - Porta 2,07:00–23:00,€
Punt de Llibres,Botiga,Premsa i llibres,Terminal A - Porta 6,06:00–22:00,€€
Mediterrània Juan,Restaurant,Mediterrània,Terminal A - Porta 22,06:00–22:00,€€
Gianna al Forno,Restaurant,Cuina italiana,Terminal A - Porta 15,09:00–21:00,€€
Natura Cáceres,Botiga,Productes naturals,Terminal A - Porta 4,10:00–20:00,€
Gust Toscà,Restaurant,Cuina italiana,Terminal A - Porta 16,07:00–23:00,€€€
Maurice Perfums,Botiga,Perfumeria,Terminal A - Porta 11,06:00–22:00,€€
QuickBite Lugo,Restaurant,Cuina ràpida,Terminal A - Porta 8,10:00–20:00,€
Bocateria Angelina,Restaurant,Cuina ràpida,Terminal A - Porta 3,06:00–22:00,€
Estil William,Botiga,Moda,Terminal A - Porta 2,09:00–21:00,€€
Café Central,Restaurant,Cafeteria,Terminal A - Porta 8,09:00–21:00,€€
NaturalMente,Botiga,Productes naturals,Terminal A - Porta 21,10:00–20:00,€€
Revistes & Co,Botiga,Premsa i llibres,Terminal A - Porta 2,07:00–23:00,€€
Botiga Bio Sevilla,Botiga,Productes naturals,Terminal A - Porta 12,09:00–21:00,€
Lectura+ Ceuta,Botiga,Premsa i llibres,Terminal A - Porta 21,07:00–23:00,€
Elixir Parentnec,Botiga,Perfumeria,Terminal A - Porta 3,10:00–20:00,€€
Olor Natural,Botiga,Perfumeria,Terminal A - Porta 14,09:00–21:00,€€€
Sapore di Corica,Restaurant,Cuina italiana,Terminal A - Porta 13,10:00–20:00,€€
Elixir MauriceVille,Botiga,Perfumeria,Terminal A - Porta 1,07:00–23:00,€€€
Racó Cafè,Restaurant,Cafeteria,Terminal A - Porta 20,07:00–23:00,€
Perfumis,Botiga,Perfumeria,Terminal A - Porta 25,06:00–22:00,€€€
Santiago Express,Restaurant,Cuina ràpida,Terminal A - Porta 3,09:00–21:00,€
Biosfera,Botiga,Productes naturals,Terminal A - Porta 12,07:00–23:00,€
Coffee & Juana,Restaurant,Cafeteria,Terminal A - Porta 8,06:00–22:00,€€
Urban Look,Botiga,Moda,Terminal A - Porta 11,10:00–20:00,€€€
Tendències Barthelemy,Botiga,Moda,Terminal A - Porta 13,09:00–21:00,€€
